Airline,Time,Amount,Type,Source
JetBlue,20191,1139000000,GrossProfit,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/gross-profit
JetBlue,20184,1230000000,GrossProfit,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/gross-profit
JetBlue,20183,1174000000,GrossProfit,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/gross-profit
JetBlue,20182,1103000000,GrossProfit,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/gross-profit
JetBlue,20181,1061000000,GrossProfit,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/gross-profit
JetBlue,20174,1071000000,GrossProfit,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/gross-profit
JetBlue,20173,1192000000,GrossProfit,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/gross-profit
JetBlue,20172,1220000000,GrossProfit,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/gross-profit
JetBlue,20171,1004000000,GrossProfit,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/gross-profit
JetBlue,20222,-188000000,NetIncome,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/net-income
JetBlue,20221,-255000000,NetIncome,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/net-income
JetBlue,20214,-129000000,NetIncome,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/net-income
JetBlue,20213,130000000,NetIncome,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/net-income
JetBlue,20212,64000000,NetIncome,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/net-income
JetBlue,20211,-247000000,NetIncome,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/net-income
JetBlue,20204,-373000000,NetIncome,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/net-income
JetBlue,20203,-393000000,NetIncome,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/net-income
JetBlue,20202,-320000000,NetIncome,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/net-income
JetBlue,20201,-268000000,NetIncome,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/net-income
JetBlue,20194,161000000,NetIncome,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/net-income
JetBlue,20193,187000000,NetIncome,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/net-income
JetBlue,20192,179000000,NetIncome,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/net-income
JetBlue,20191,42000000,NetIncome,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/net-income
JetBlue,20184,170000000,NetIncome,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/net-income
JetBlue,20183,50000000,NetIncome,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/net-income
JetBlue,20182,-121000000,NetIncome,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/net-income
JetBlue,20181,90000000,NetIncome,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/net-income
JetBlue,20174,670000000,NetIncome,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/net-income
JetBlue,20173,181000000,NetIncome,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/net-income
JetBlue,20172,207000000,NetIncome,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/net-income
JetBlue,20171,82000000,NetIncome,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/net-income
Spirit,20222,1367000000,Revenue,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/revenue
Spirit,20221,967000000,Revenue,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/revenue
Spirit,20214,988000000,Revenue,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/revenue
Spirit,20213,923000000,Revenue,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/revenue
Spirit,20212,859000000,Revenue,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/revenue
Spirit,20211,461000000,Revenue,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/revenue
Spirit,20204,498000000,Revenue,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/revenue
Spirit,20203,402000000,Revenue,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/revenue
Spirit,20202,139000000,Revenue,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/revenue
Spirit,20201,771000000,Revenue,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/revenue
Spirit,20194,970000000,Revenue,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/revenue
Spirit,20193,992000000,Revenue,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/revenue
Spirit,20192,1013000000,Revenue,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/revenue
Spirit,20191,856000000,Revenue,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/revenue
Spirit,20184,863000000,Revenue,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/revenue
Spirit,20183,904000000,Revenue,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/revenue
Spirit,20182,852000000,Revenue,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/revenue
Spirit,20181,704000000,Revenue,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/revenue
Spirit,20174,666000000,Revenue,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/revenue
Spirit,20173,687000000,Revenue,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/revenue
Spirit,20172,700000000,Revenue,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/revenue
Spirit,20171,590000000,Revenue,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/revenue
Spirit,20222,808000000,GrossProfit,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/gross-profit
Spirit,20221,599000000,GrossProfit,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/gross-profit
Spirit,20214,691000000,GrossProfit,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/gross-profit
Spirit,20213,663000000,GrossProfit,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/gross-profit
Spirit,20212,644000000,GrossProfit,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/gross-profit
Spirit,20211,318000000,GrossProfit,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/gross-profit
Spirit,20204,395000000,GrossProfit,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/gross-profit
Spirit,20203,308000000,GrossProfit,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/gross-profit
Spirit,20202,119000000,GrossProfit,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/gross-profit
Spirit,20201,558000000,GrossProfit,https://www.macrotrends.net/stocks/charts/SAVE/spirit-airlines/gross-profit
