year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,5,DL,Delta Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",18297,2573,1012.39,95.51,501.03,0.52,963.54,444,23,193784,102534,7741,19640,34,63835
2022,5,DL,Delta Air Lines Inc.,BNA,"Nashville, TN: Nashville International",488,53,37.29,0,7.47,0,8.24,23,1,3673,2951,0,243,0,479
2022,5,DL,Delta Air Lines Inc.,BOS,"Boston, MA: Logan International",1738,416,164.49,9.45,135.3,0,106.76,38,2,26710,13575,372,5127,0,7636
2022,5,DL,Delta Air Lines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",447,73,45.28,4.69,11.82,0,11.21,16,3,3416,1858,378,593,0,587
2022,5,DL,Delta Air Lines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",472,50,30.34,1.63,7.04,0,10.99,3,2,3134,1902,155,347,0,730
2022,5,DL,Delta Air Lines Inc.,DAL,"Dallas, TX: Dallas Love Field",150,15,8.66,0.88,3.19,0,2.26,0,1,749,338,23,304,0,84
2022,5,DL,Delta Air Lines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",677,172,86.2,7.28,51.47,0.76,26.29,16,1,9715,4603,1546,2238,32,1296
2022,5,DL,Delta Air Lines Inc.,DEN,"Denver, CO: Denver International",902,168,100.93,3.31,45.44,0.56,17.76,36,3,9069,5418,895,1779,31,946
2022,5,DL,Delta Air Lines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",973,178,78.75,4.02,45.1,0,50.13,21,8,13006,6742,269,2202,0,3793
2022,5,DL,Delta Air Lines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",4942,740,291.4,26.13,141.41,0,281.06,138,3,62042,32128,1448,6020,0,22446
2022,5,DL,Delta Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",444,135,52.97,1.83,73.95,0,6.25,32,6,11051,4308,61,6001,0,681
2022,5,DL,Delta Air Lines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1003,231,129.64,2.2,65.35,0,33.82,39,10,14351,8463,123,4042,0,1723
2022,5,DL,Delta Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",203,45,28.37,0,9.73,0,6.9,3,0,4025,3281,0,351,0,393
2022,5,DL,Delta Air Lines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",568,104,56.51,1,19.14,0,27.36,8,1,9297,6533,84,1034,0,1646
2022,5,DL,Delta Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",2147,523,183.81,8.29,194.82,0.46,135.61,115,8,36161,17121,534,8952,40,9514
2022,5,DL,Delta Air Lines Inc.,LAS,"Las Vegas, NV: McCarran International",1202,264,123.48,8.39,85.29,0,46.84,25,1,12809,6611,511,3134,0,2553
2022,5,DL,Delta Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2582,462,214.3,11.48,147.8,0,88.42,79,0,29272,15948,1044,5573,0,6707
2022,5,DL,Delta Air Lines Inc.,LGA,"New York, NY: LaGuardia",2191,468,167.15,11.01,188.54,0,101.3,133,25,33061,12881,1696,10290,0,8194
2022,5,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1634,334,166.18,5.45,105.8,0,56.58,55,2,21849,12581,291,4862,0,4115
2022,5,DL,Delta Air Lines Inc.,MDW,"Chicago, IL: Chicago Midway International",93,30,24.58,0,2.51,0,2.91,1,0,1194,1062,0,66,0,66
2022,5,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",758,160,73.04,2.09,55.11,0,29.76,35,4,13364,8389,128,2968,0,1879
2022,5,DL,Delta Air Lines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",4700,713,318.64,21.94,149.58,1,221.84,125,32,58872,30803,2283,6973,62,18751
2022,5,DL,Delta Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",827,123,66.22,1.41,31.98,0,23.39,24,1,9269,5284,762,1482,0,1741
2022,5,DL,Delta Air Lines Inc.,PHL,"Philadelphia, PA: Philadelphia International",362,77,52.63,1.54,13.98,0,8.85,12,0,4334,3192,32,622,0,488
2022,5,DL,Delta Air Lines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",818,113,68.94,4.76,14.36,0,24.95,38,1,6189,4342,326,427,0,1094
2022,5,DL,Delta Air Lines Inc.,SAN,"San Diego, CA: San Diego International",691,110,62.98,1.78,16.94,0,28.3,20,1,5840,3427,75,665,0,1673
